                ahdc  |              bankid  |                                      ahdc bank ID  | 2300   |                  Di  
                ahdc  |          superlayer  |      superlayer number from 0 to 4, circles in XY  |    1   |                  Di  
                ahdc  |               layer  |                             layer number (0 or 1)  |    2   |                  Di  
                ahdc  |             wireNum  |                     the AHDC cell number, from 1!  |    3   |                  Di  
                ahdc  |                 adc  |                                               ADC  |    4   |                  Dd  
                ahdc  |                time  |                                              time  |    5   |                  Dd  
                ahdc  |                hitn  |                                        hit number  |   99   |                  Di  
              myatof  |              bankid  |                                    myatof bank ID  | 2200   |                  Di  
              myatof  |              sector  |                   sector from 0 to 14, in XY plan  |    1   |                  Di  
              myatof  |          superlayer  |superlayer from 0 (smallest paddles) to 1 (biggest paddles), circles in XY plan  |    2   |                  Di  
              myatof  |               layer  |layer 0 for smallest paddles, form 0 to 9 for biggest paddles, in Z axis  |    3   |                  Di  
              myatof  |              paddle  |paddle number from (sectorId*4+1) to (sectorId*4+4)  |    4   |                  Di  
              myatof  |                 adc  |                                               ADC  |    5   |                  Dd  
              myatof  |                time  |                                              time  |    6   |                  Dd  
              myatof  |                hitn  |                                        hit number  |   99   |                  Di  
