                ahdc  |              bankid  |                                      ahdc bank ID  |22400   |                  Di  
                ahdc  |              sector  |                                          set to 0  |    1   |                  Di  
                ahdc  |               layer  |               hipo layer is superlayer*10 + layer  |    2   |                  Di  
                ahdc  |           component  |                                       wire number  |    3   |                  Di  
                ahdc  |           ADC_order  |                                          set to 0  |    4   |                  Di  
                ahdc  |             ADC_ADC  |                       ADC integral from pulse fit  |    5   |                  Di  
                ahdc  |            ADC_time  |                           adc time from pulse fit  |    6   |                  Dd  
                ahdc  |             ADC_ped  |pedestal from pulse analysis - currently set to noise level  |    7   |                  Di  
                ahdc  |        ADC_integral  |                                          integral  |    8   |                  Di  
                ahdc  |       ADC_timestamp  |                          currently set to t_start  |    9   |                  Dd  
                ahdc  |           ADC_t_cfd  |         time from constant fraction discriminator  |   10   |                  Dd  
                ahdc  |          ADC_mctime  |              mc time - weighted average with Edep  |   11   |                  Dd  
                ahdc  |          ADC_nsteps  |                                            nsteps  |   12   |                  Di  
                ahdc  |          ADC_mcEtot  |                                            mcEtot  |   13   |                  Dd  
                ahdc  |                hitn  |                                        hit number  |   99   |                  Di  
