atof.sector1.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer2.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer2.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer2.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer2.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer2.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer2.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer2.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer2.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer2.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector1.superlayer2.layer10.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer2.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer2.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer2.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer2.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer2.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer2.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer2.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer2.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer2.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector2.superlayer2.layer10.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer2.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer2.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer2.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer2.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer2.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer2.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer2.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer2.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer2.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector3.superlayer2.layer10.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer2.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer2.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer2.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer2.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer2.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer2.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer2.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer2.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer2.layer9.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector4.superlayer2.layer10.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer1.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer2.layer1.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer2.layer2.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer2.layer3.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer2.layer4.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer2.layer5.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer2.layer6.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer2.layer7.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
atof.sector5.superlayer2.layer8.ncomponents | 4| na | number of counters in module | sergeyeva | sergeyeva@ipno.in2p3.fr | none | none | 15 June 2020 
