sensorActive_sp1_m1_s1_r1  |                root  |SVT Sensor Active Zone 1, Module 1, Sector 1, Region 1  |                 1.0000*cm  -6.5290*cm -16.4848*cm  |ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.0016*cm      0.0160*cm      5.4978*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |                                      no 
deadZoneLen1_sp1_m1_s1_r1  |                root  |SVT Sensor Dead Zone 1 Along Length of Physical Sensor 1, Module 1, Sector 1, Region 1  |                 3.0508*cm  -6.5290*cm -16.4848*cm  |ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg  | cccccc   |                 Box  |                     0.0492*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
deadZoneLen2_sp1_m1_s1_r1  |                root  |SVT Sensor Dead Zone 2 Along Length of Physical Sensor 1, Module 1, Sector 1, Region 1  |                -1.0508*cm  -6.5290*cm -16.4848*cm  |ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg  | cccccc   |                 Box  |                     0.0492*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
deadZoneWid3_sp1_m1_s1_r1  |                root  |SVT Sensor Dead Zone 3 Along Width of Physical Sensor 1, Module 1, Sector 1, Region 1  |                 1.0000*cm  -6.5290*cm -22.0244*cm  |ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg  | cccccc   |                 Box  |                     2.0016*cm      0.0160*cm      0.0418*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
deadZoneWid4_sp1_m1_s1_r1  |                root  |SVT Sensor Dead Zone 4 Along Width of Physical Sensor 1, Module 1, Sector 1, Region 1  |                 1.0000*cm  -6.5290*cm -10.9453*cm  |ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg  | cccccc   |                 Box  |                     2.0016*cm      0.0160*cm      0.0418*cm  |               G4_Si  |                  no  |     4   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
sensorActive_sp2_m1_s1_r1  |                root  |SVT Sensor Active Zone 2, Module 1, Sector 1, Region 1  |                 1.0000*cm  -6.5290*cm  -5.3112*cm  |ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.0016*cm      0.0160*cm      5.4978*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |                                      no 
deadZoneLen1_sp2_m1_s1_r1  |                root  |SVT Sensor Dead Zone 1 Along Length of Physical Sensor 2, Module 1, Sector 1, Region 1  |                 3.0508*cm  -6.5290*cm  -5.3112*cm  |ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg  | cccccc   |                 Box  |                     0.0492*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
deadZoneLen2_sp2_m1_s1_r1  |                root  |SVT Sensor Dead Zone 2 Along Length of Physical Sensor 2, Module 1, Sector 1, Region 1  |                -1.0508*cm  -6.5290*cm  -5.3112*cm  |ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg  | cccccc   |                 Box  |                     0.0492*cm      0.0160*cm      5.5813*cm  |               G4_Si  |                  no  |     2   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
deadZoneWid3_sp2_m1_s1_r1  |                root  |SVT Sensor Dead Zone 3 Along Width of Physical Sensor 2, Module 1, Sector 1, Region 1  |                 1.0000*cm  -6.5290*cm -10.8507*cm  |ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg  | cccccc   |                 Box  |                     2.0016*cm      0.0160*cm      0.0418*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
deadZoneWid4_sp2_m1_s1_r1  |                root  |SVT Sensor Dead Zone 4 Along Width of Physical Sensor 2, Module 1, Sector 1, Region 1  |                 1.0000*cm  -6.5290*cm   0.2283*cm  |ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg  | cccccc   |                 Box  |                     2.0016*cm      0.0160*cm      0.0418*cm  |               G4_Si  |                  no  |     4   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
sensorActive_sp3_m1_s1_r1  |                root  |SVT Sensor Active Zone 3, Module 1, Sector 1, Region 1  |                 1.0000*cm  -6.5290*cm   5.8625*cm  |ordered: zyx  -180.0000*deg   -0.0000*deg    0.0000*deg  | 0000ff   |                 Box  |                     2.0016*cm      0.0160*cm      5.4978*cm  |               G4_Si  |                  no  |     3   |     1   |     1   |   1   |   1   |                 bst  |                 bst  |                                      no 
