region_recoil_1_s1 |     root | -26.0343897*cm 0*cm 21.0822331*cm | ordered: zxy 0*deg 0*deg -321*deg |      Box | 10.7944521*cm 8.8106533*cm 1.5376*cm  |    1   1   0   0
         rg1_s1_c1 | region_recoil_1_s1 | 0*cm 0*cm 0*cm | 0 0 0 |      Box | 9.8944521*cm 7.9106533*cm 0.6376*cm  |    1   1   1   0
rg1_s1_c1_window_kapton | rg1_s1_c1 | 0*cm 0*cm -0.53635*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00125*cm  | 
rg1_s1_c1_window_Al | rg1_s1_c1 | 0*cm 0*cm -0.53485*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00025*cm  | 
rg1_s1_c1_window_gas | rg1_s1_c1 | 0*cm 0*cm -0.3846*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.15*cm  | 
rg1_s1_c1_cathode_kapton | rg1_s1_c1 | 0*cm 0*cm -0.23335*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00125*cm  | 
rg1_s1_c1_cathode_Al | rg1_s1_c1 | 0*cm 0*cm -0.23185*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00025*cm  | 
rg1_s1_c1_cathode_gas | rg1_s1_c1 | 0*cm 0*cm -0.0316*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.2*cm  | 
rg1_s1_c1_muRwell_Cu | rg1_s1_c1 | 0*cm 0*cm 0.16865*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00025*cm  | 
rg1_s1_c1_muRwell_kapton | rg1_s1_c1 | 0*cm 0*cm 0.1714*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.0025*cm  | 
rg1_s1_c1_muRwell_dlc | rg1_s1_c1 | 0*cm 0*cm 0.17415*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00025*cm  | 
rg1_s1_c1_capa_sharing_layer1_glue | rg1_s1_c1 | 0*cm 0*cm 0.17465*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00025*cm  | 
rg1_s1_c1_capa_sharing_layer1_Cr | rg1_s1_c1 | 0*cm 0*cm 0.1774*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.0025*cm  | 
rg1_s1_c1_capa_sharing_layer1_kapton | rg1_s1_c1 | 0*cm 0*cm 0.18015*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00025*cm  | 
rg1_s1_c1_capa_sharing_layer2_glue | rg1_s1_c1 | 0*cm 0*cm 0.18065*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00025*cm  | 
rg1_s1_c1_capa_sharing_layer2_Cr | rg1_s1_c1 | 0*cm 0*cm 0.1834*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.0025*cm  | 
rg1_s1_c1_capa_sharing_layer2_kapton | rg1_s1_c1 | 0*cm 0*cm 0.18615*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00025*cm  | 
rg1_s1_c1_readout1_glue | rg1_s1_c1 | 0*cm 0*cm 0.1889*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.0025*cm  | 
rg1_s1_c1_readout1_Cu | rg1_s1_c1 | 0*cm 0*cm 0.19165*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00025*cm  | 
rg1_s1_c1_readout1_kapton | rg1_s1_c1 | 0*cm 0*cm 0.1944*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.0025*cm  | 
rg1_s1_c1_readout2_glue | rg1_s1_c1 | 0*cm 0*cm 0.1994*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.0025*cm  | 
rg1_s1_c1_readout2_Cu | rg1_s1_c1 | 0*cm 0*cm 0.20215*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00025*cm  | 
rg1_s1_c1_readout2_kapton | rg1_s1_c1 | 0*cm 0*cm 0.2049*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.0025*cm  | 
rg1_s1_c1_readout3_glue | rg1_s1_c1 | 0*cm 0*cm 0.2099*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.0025*cm  | 
rg1_s1_c1_support_skin1_g10 | rg1_s1_c1 | 0*cm 0*cm 0.21875*cm | 0 0 0 |      Box | 9.7944521*cm 7.8106533*cm 0.00635*cm  | 
