              CV_1_2  |                root  |    Compton Section Vacuum 1_2  |                -0.1439736019*m 0*m -15.18090970*m  |                   0*rad -0.04*rad 0*rad  | 000000   |                Tube  |                       0.0*cm 7.3025*cm 2.08*m 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             CV_2_2a  |                root  |   Compton Section Vacuum 2_2a  |                -0.2926339052*m 0*m -20.52855182*m  |           0*rad -0.0037499912*rad 0*rad  | 000000   |                Tube  |                       0.0*cm 7.3025*cm 0.23*m 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            CV_2a_3a  |                root  |  Compton Section Vacuum 2a_3a  |                -0.2929464046*m 0*m -22.87855065*m  |                       0*rad 0*rad 0*rad  | 000000   |                Tube  |                       0.0*cm 7.3025*cm 1.58*m 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             CV_3a_3  |                root  |   Compton Section Vacuum 3a_3  |                -0.2926339052*m 0*m -25.22854947*m  |            0*rad 0.0037499912*rad 0*rad  | 000000   |                Tube  |                       0.0*cm 7.3025*cm 0.23*m 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
              CV_3_4  |                root  |    Compton Section Vacuum 3_4  |                -0.1455927300*m 0*m -30.50000880*m  |                    0*rad 0.04*rad 0*rad  | 000000   |                Tube  |                       0.0*cm 7.3025*cm 2.00*m 0*deg 360*deg  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
              CS_1_2  |                root  |   Compton Chicane Section 1_2  |                -0.1439736019*m 0*m -15.18090970*m  |                   0*rad -0.04*rad 0*rad  | C0C0C0   |                Tube  |                      7.3025*cm 7.62*cm 2.08*m 0*deg 360*deg  |      StainlessSteel  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             CS_2_2a  |                root  |  Compton Chicane Section 2_2a  |                -0.2926339052*m 0*m -20.52855182*m  |           0*rad -0.0037499912*rad 0*rad  | C0C0C0   |                Tube  |                      7.3025*cm 7.62*cm 0.23*m 0*deg 360*deg  |      StainlessSteel  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
            CS_2a_3a  |                root  | Compton Chicane Section 2a_3a  |                -0.2929464046*m 0*m -22.87855065*m  |                       0*rad 0*rad 0*rad  | C0C0C0   |                Tube  |                      7.3025*cm 7.62*cm 1.58*m 0*deg 360*deg  |      StainlessSteel  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
             CS_3a_3  |                root  |  Compton Chicane Section 3a_3  |                -0.2926339052*m 0*m -25.22854947*m  |            0*rad 0.0037499912*rad 0*rad  | C0C0C0   |                Tube  |                      7.3025*cm 7.62*cm 0.23*m 0*deg 360*deg  |      StainlessSteel  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
              CS_3_4  |                root  |   Compton Chicane Section 3_4  |                -0.1455927300*m 0*m -30.50000880*m  |                    0*rad 0.04*rad 0*rad  | C0C0C0   |                Tube  |                      7.3025*cm 7.62*cm 2.00*m 0*deg 360*deg  |      StainlessSteel  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          DET_SHIELD  |                root  |Compton Electron Detector Shield  |                -0.0253698000*m 0*m -32.59153180*m  |                    0*rad 0.00*rad 0*rad  | CC0000   |                 Box  |                                 2.5000*cm 0.5000*cm 0.15*cm  |         G4_Galactic  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
          Photon_DET  |                root  |       Compton Photon Detector  |                -0.2929464046*m 0*m -32.69831180*m  |                    0*rad 0.00*rad 0*rad  | AA00AA   |                 Box  |                                         3.0*cm 3.0*cm 10*cm  |       G4_GLASS_LEAD  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
       e_det_strip_1  |                root  |Compton Electron Detector Strip 1  |                    -0.0423698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 1 
       e_det_strip_2  |                root  |Compton Electron Detector Strip 2  |                    -0.0421198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 2 
       e_det_strip_3  |                root  |Compton Electron Detector Strip 3  |                    -0.0418698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 3 
       e_det_strip_4  |                root  |Compton Electron Detector Strip 4  |                    -0.0416198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 4 
       e_det_strip_5  |                root  |Compton Electron Detector Strip 5  |                    -0.0413698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 5 
       e_det_strip_6  |                root  |Compton Electron Detector Strip 6  |                    -0.0411198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 6 
       e_det_strip_7  |                root  |Compton Electron Detector Strip 7  |                    -0.0408698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 7 
       e_det_strip_8  |                root  |Compton Electron Detector Strip 8  |                    -0.0406198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 8 
       e_det_strip_9  |                root  |Compton Electron Detector Strip 9  |                    -0.0403698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                             id manual 9 
      e_det_strip_10  |                root  |Compton Electron Detector Strip 10  |                    -0.0401198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 10 
      e_det_strip_11  |                root  |Compton Electron Detector Strip 11  |                    -0.0398698*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 11 
      e_det_strip_12  |                root  |Compton Electron Detector Strip 12  |                    -0.0396198*m 0*m -32.5965318*m  |                 0.0*rad 0.0*rad 0.0*rad  | EE00EE   |                 Box  |                                 0.0120*cm 0.5000*cm 0.05*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                            id manual 12 
