det1_tof_modular_eleside_box_XpYp_0_0  |                root  |det1_tof_modular_eleside_box_XpYp_0_0  |       351.5625*mm 70.3125*mm -2374.11116180219*mm  |-1.67810728991472*deg --8.42324551664131*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_0_1  |                root  |det1_tof_modular_eleside_box_XpYp_0_1  |      351.5625*mm 210.9375*mm -2374.11116180219*mm  |-5.0228549531318*deg --8.42324551664131*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_1_0  |                root  |det1_tof_modular_eleside_box_XpYp_1_0  |       492.1875*mm 70.3125*mm -2348.98945609463*mm  |-1.67810728991472*deg --11.8340724488728*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_1_1  |                root  |det1_tof_modular_eleside_box_XpYp_1_1  |      492.1875*mm 210.9375*mm -2348.98945609463*mm  |-5.0228549531318*deg --11.8340724488728*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_2_0  |                root  |det1_tof_modular_eleside_box_XpYp_2_0  |       632.8125*mm 70.3125*mm -2315.06983476606*mm  |-1.67810728991472*deg --15.2880503249415*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_2_1  |                root  |det1_tof_modular_eleside_box_XpYp_2_1  |      632.8125*mm 210.9375*mm -2315.06983476606*mm  |-5.0228549531318*deg --15.2880503249415*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_3_0  |                root  |det1_tof_modular_eleside_box_XpYp_3_0  |       773.4375*mm 70.3125*mm -2271.95828165786*mm  |-1.67810728991472*deg --18.7999957493108*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_3_1  |                root  |det1_tof_modular_eleside_box_XpYp_3_1  |      773.4375*mm 210.9375*mm -2271.95828165786*mm  |-5.0228549531318*deg --18.7999957493108*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_4_0  |                root  |det1_tof_modular_eleside_box_XpYp_4_0  |       914.0625*mm 70.3125*mm -2219.11913742677*mm  |-1.67810728991472*deg --22.386924481902*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_4_1  |                root  |det1_tof_modular_eleside_box_XpYp_4_1  |      914.0625*mm 210.9375*mm -2219.11913742677*mm  |-5.0228549531318*deg --22.386924481902*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_5_0  |                root  |det1_tof_modular_eleside_box_XpYp_5_0  |      1054.6875*mm 70.3125*mm -2155.83725669257*mm  |-1.67810728991472*deg --26.0689935698936*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_5_1  |                root  |det1_tof_modular_eleside_box_XpYp_5_1  |     1054.6875*mm 210.9375*mm -2155.83725669257*mm  |-5.0228549531318*deg --26.0689935698936*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_6_0  |                root  |det1_tof_modular_eleside_box_XpYp_6_0  |       1195.3125*mm 70.3125*mm -2081.1602598896*mm  |-1.67810728991472*deg --29.8708661976681*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_6_1  |                root  |det1_tof_modular_eleside_box_XpYp_6_1  |      1195.3125*mm 210.9375*mm -2081.1602598896*mm  |-5.0228549531318*deg --29.8708661976681*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_7_0  |                root  |det1_tof_modular_eleside_box_XpYp_7_0  |      1335.9375*mm 70.3125*mm -1993.80816431615*mm  |-1.67810728991472*deg --33.8237914634847*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_7_1  |                root  |det1_tof_modular_eleside_box_XpYp_7_1  |     1335.9375*mm 210.9375*mm -1993.80816431615*mm  |-5.0228549531318*deg --33.8237914634847*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_0_2  |                root  |det1_tof_modular_eleside_box_XpYp_0_2  |       70.3125*mm 351.5625*mm -2398.96981063617*mm  |-8.33366671590476*deg --1.67882750705273*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_0_3  |                root  |det1_tof_modular_eleside_box_XpYp_0_3  |       70.3125*mm 492.1875*mm -2398.96981063617*mm  |-11.589421864565*deg --1.67882750705273*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_1_2  |                root  |det1_tof_modular_eleside_box_XpYp_1_2  |      210.9375*mm 351.5625*mm -2390.71231458194*mm  |-8.33366671590476*deg --5.04226785609682*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_1_3  |                root  |det1_tof_modular_eleside_box_XpYp_1_3  |      210.9375*mm 492.1875*mm -2390.71231458194*mm  |-11.589421864565*deg --5.04226785609682*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_2_2  |                root  |det1_tof_modular_eleside_box_XpYp_2_2  |      351.5625*mm 351.5625*mm -2374.11116180219*mm  |-8.33366671590476*deg --8.42324551664131*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_2_3  |                root  |det1_tof_modular_eleside_box_XpYp_2_3  |      351.5625*mm 492.1875*mm -2374.11116180219*mm  |-11.589421864565*deg --8.42324551664131*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_3_2  |                root  |det1_tof_modular_eleside_box_XpYp_3_2  |      492.1875*mm 351.5625*mm -2348.98945609463*mm  |-8.33366671590476*deg --11.8340724488728*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_3_3  |                root  |det1_tof_modular_eleside_box_XpYp_3_3  |      492.1875*mm 492.1875*mm -2348.98945609463*mm  |-11.589421864565*deg --11.8340724488728*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_4_2  |                root  |det1_tof_modular_eleside_box_XpYp_4_2  |      632.8125*mm 351.5625*mm -2315.06983476606*mm  |-8.33366671590476*deg --15.2880503249415*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_4_3  |                root  |det1_tof_modular_eleside_box_XpYp_4_3  |      632.8125*mm 492.1875*mm -2315.06983476606*mm  |-11.589421864565*deg --15.2880503249415*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
det1_tof_modular_eleside_box_XpYp_5_2  |                root  |det1_tof_modular_eleside_box_XpYp_5_2  |      773.4375*mm 351.5625*mm -2271.95828165786*mm  |-8.33366671590476*deg --18.7999957493108*deg 0*deg  | ff255f   |                 Box  |                                   56.25*mm 56.25*mm 28.5*mm  |             Air_Opt  |                  no  |     1   |     1   |     1   |   1   |   0   |                  no  |                  no  |                                      no 
