det1_tracker_barrel_1  |                root  |         det1_tracker_barrel_1  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | fff4e7   |                Tube  |                             40*cm 41*cm 90*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 51100 
det1_tracker_barrel_2  |                root  |         det1_tracker_barrel_2  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | fff4e7   |                Tube  |                            60*cm 61*cm 125*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 51200 
det1_tracker_barrel_3  |                root  |         det1_tracker_barrel_3  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | fff4e7   |                Tube  |                            75*cm 86*cm 150*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 51300 
det1_tracker_barrel_4  |                root  |         det1_tracker_barrel_4  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | fff4e7   |                Tube  |                            98*cm 99*cm 180*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 51400 
det1_tracker_eleside_1  |                root  |        det1_tracker_eleside_1  |                                  0*cm 0*cm -40*cm  |                       0*deg 0*deg 0*deg  | FF8000   |                Tube  |                               5*cm 30*cm 1*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53100 
det1_tracker_eleside_2  |                root  |        det1_tracker_eleside_2  |                                  0*cm 0*cm -50*cm  |                       0*deg 0*deg 0*deg  | FF8000   |                Tube  |                               6*cm 32*cm 1*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53200 
det1_tracker_eleside_3  |                root  |        det1_tracker_eleside_3  |                                  0*cm 0*cm -60*cm  |                       0*deg 0*deg 0*deg  | FF8000   |                Tube  |                               7*cm 33*cm 1*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53300 
det1_tracker_eleside_4  |                root  |        det1_tracker_eleside_4  |                                 0*cm 0*cm -100*cm  |                       0*deg 0*deg 0*deg  | FF8000   |                Tube  |                              13*cm 70*cm 1*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53400 
det1_tracker_eleside_5  |                root  |        det1_tracker_eleside_5  |                                 0*cm 0*cm -110*cm  |                       0*deg 0*deg 0*deg  | FF8000   |                Tube  |                              15*cm 75*cm 1*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53500 
det1_tracker_eleside_6  |                root  |        det1_tracker_eleside_6  |                                 0*cm 0*cm -120*cm  |                       0*deg 0*deg 0*deg  | FF8000   |                Tube  |                              17*cm 80*cm 1*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53600 
det1_tracker_eleside_7  |                root  |        det1_tracker_eleside_7  |                                 0*cm 0*cm -185*cm  |                       0*deg 0*deg 0*deg  | FF8000   |                Tube  |                              18*cm 95*cm 1*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53700 
det1_tracker_eleside_8  |                root  |        det1_tracker_eleside_8  |                                 0*cm 0*cm -190*cm  |                       0*deg 0*deg 0*deg  | FF8000   |                Tube  |                              19*cm 97*cm 1*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 53800 
