det1_tracker_vtxSupp_3  |                root  |        det1_tracker_vtxSupp_3  |                                    0*cm 0*cm 5*cm  |                   0*deg 0.025*rad 0*deg  | f9e7bb   |                Tube  |                         6.82*cm 6.87*cm 18*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 61300 
det1_tracker_vtxSupp_4  |                root  |        det1_tracker_vtxSupp_4  |                                    0*cm 0*cm 5*cm  |                   0*deg 0.025*rad 0*deg  | f9e7bb   |                Tube  |                       10.82*cm 10.87*cm 24*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 61400 
det1_tracker_vtxSupp_5  |                root  |        det1_tracker_vtxSupp_5  |                                    0*cm 0*cm 5*cm  |                   0*deg 0.025*rad 0*deg  | f9e7bb   |                Tube  |                       14.82*cm 14.87*cm 36*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 61500 
det1_tracker_vtxSupp_6  |                root  |        det1_tracker_vtxSupp_6  |                                    0*cm 0*cm 5*cm  |                   0*deg 0.025*rad 0*deg  | f9e7bb   |                Tube  |                       17.82*cm 17.87*cm 40*cm 0*deg 360*deg  |              Vacuum  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 61600 
det1_tracker_vertex_Vertex_1_1  |                root  |det1_tracker_vertex_Vertex_1_1  |                                 4.07*cm 0*cm 5*cm  |                  0*deg 0.025*rad 97*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50101 
det1_tracker_vertex_Vertex_1_2  |                root  |det1_tracker_vertex_Vertex_1_2  |      3.52472429341153*cm 2.03499844113813*cm 5*cm  |    0*deg 0.025*rad 66.9991405379596*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50102 
det1_tracker_vertex_Vertex_1_3  |                root  |det1_tracker_vertex_Vertex_1_3  |      2.03500311772254*cm 3.52472159338288*cm 5*cm  |    0*deg 0.025*rad 36.9982810759192*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50103 
det1_tracker_vertex_Vertex_1_4  |                root  |det1_tracker_vertex_Vertex_1_4  |  5.40005522947756e-06*cm 4.06999999999642*cm 5*cm  |    0*deg 0.025*rad 6.99742161387873*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50104 
det1_tracker_vertex_Vertex_1_5  |                root  |det1_tracker_vertex_Vertex_1_5  |     -2.03499376455013*cm 3.52472699343397*cm 5*cm  |   0*deg 0.025*rad -23.0034378481617*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50105 
det1_tracker_vertex_Vertex_1_6  |                root  |det1_tracker_vertex_Vertex_1_6  |     -3.52471889334802*cm 2.03500779430337*cm 5*cm  |   0*deg 0.025*rad -53.0042973102021*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50106 
det1_tracker_vertex_Vertex_1_7  |                root  |det1_tracker_vertex_Vertex_1_7  | -4.06999999998567*cm 1.08001104589456e-05*cm 5*cm  |   0*deg 0.025*rad -83.0051567722425*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50107 
det1_tracker_vertex_Vertex_1_8  |                root  |det1_tracker_vertex_Vertex_1_8  |    -3.52472969345021*cm -2.03498908795856*cm 5*cm  |   0*deg 0.025*rad -113.006016234283*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50108 
det1_tracker_vertex_Vertex_1_9  |                root  |det1_tracker_vertex_Vertex_1_9  |    -2.03501247088063*cm -3.52471619330696*cm 5*cm  |   0*deg 0.025*rad -143.006875696323*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50109 
det1_tracker_vertex_Vertex_1_10  |                root  |det1_tracker_vertex_Vertex_1_10  |-1.62001656902021e-05*cm -4.06999999996776*cm 5*cm  |   0*deg 0.025*rad -173.007735158364*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50110 
det1_tracker_vertex_Vertex_1_11  |                root  |det1_tracker_vertex_Vertex_1_11  |      2.0349844113634*cm -3.52473239346024*cm 5*cm  |   0*deg 0.025*rad -203.008594620404*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50111 
det1_tracker_vertex_Vertex_1_12  |                root  |det1_tracker_vertex_Vertex_1_12  |      3.5247134932597*cm -2.03501714745429*cm 5*cm  |   0*deg 0.025*rad -233.009454082445*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 10*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50112 
det1_tracker_vertex_Vertex_2_1  |                root  |det1_tracker_vertex_Vertex_2_1  |                                 5.07*cm 0*cm 5*cm  |                  0*deg 0.025*rad 97*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50201 
det1_tracker_vertex_Vertex_2_2  |                root  |det1_tracker_vertex_Vertex_2_2  |      4.55688666662847*cm 2.22253996758297*cm 5*cm  |    0*deg 0.025*rad 70.9992551328983*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50202 
det1_tracker_vertex_Vertex_2_3  |                root  |det1_tracker_vertex_Vertex_2_3  |      3.12140674260209*cm 3.99521212793992*cm 5*cm  |    0*deg 0.025*rad 44.9985102657966*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50203 
det1_tracker_vertex_Vertex_2_4  |                root  |det1_tracker_vertex_Vertex_2_4  |       1.05411797498401*cm 4.9592071236051*cm 5*cm  |    0*deg 0.025*rad 18.9977653986949*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50204 
det1_tracker_vertex_Vertex_2_5  |                root  |det1_tracker_vertex_Vertex_2_5  |     -1.22653646833856*cm 4.91940121273266*cm 5*cm  |   0*deg 0.025*rad -7.00297946840679*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50205 
det1_tracker_vertex_Vertex_2_6  |                root  |det1_tracker_vertex_Vertex_2_6  |     -3.25892573778698*cm 3.88385157229129*cm 5*cm  |   0*deg 0.025*rad -33.0037243355085*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50206 
det1_tracker_vertex_Vertex_2_7  |                root  |det1_tracker_vertex_Vertex_2_7  |     -4.63167072773791*cm 2.06216543221337*cm 5*cm  |   0*deg 0.025*rad -59.0044692026102*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50207 
det1_tracker_vertex_Vertex_2_8  |                root  |det1_tracker_vertex_Vertex_2_8  |   -5.06691196771292*cm -0.176926853381924*cm 5*cm  |   0*deg 0.025*rad -85.0052140697119*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50208 
det1_tracker_vertex_Vertex_2_9  |                root  |det1_tracker_vertex_Vertex_2_9  |    -4.47655159441246*cm -2.38020709657023*cm 5*cm  |   0*deg 0.025*rad -111.005958936814*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50209 
det1_tracker_vertex_Vertex_2_10  |                root  |det1_tracker_vertex_Vertex_2_10  |      -2.98008537865889*cm -4.101705881204*cm 5*cm  |   0*deg 0.025*rad -137.006703803915*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50210 
det1_tracker_vertex_Vertex_2_11  |                root  |det1_tracker_vertex_Vertex_2_11  |   -0.880415398654659*cm -4.99297193320889*cm 5*cm  |   0*deg 0.025*rad -163.007448671017*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50211 
det1_tracker_vertex_Vertex_2_12  |                root  |det1_tracker_vertex_Vertex_2_12  |     1.39746084563175*cm -4.87360269050794*cm 5*cm  |   0*deg 0.025*rad -189.008193538119*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50212 
det1_tracker_vertex_Vertex_2_13  |                root  |det1_tracker_vertex_Vertex_2_13  |     3.39247484425413*cm -3.76775986908705*cm 5*cm  |    0*deg 0.025*rad -215.00893840522*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50213 
det1_tracker_vertex_Vertex_2_14  |                root  |det1_tracker_vertex_Vertex_2_14  |     4.70081267888665*cm -1.89927885209585*cm 5*cm  |   0*deg 0.025*rad -241.009683272322*deg  | 09e5f4   |                 Box  |                                          1*cm 0.03*cm 11*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50214 
det1_tracker_vertex_Vertex_3_1  |                root  |det1_tracker_vertex_Vertex_3_1  |                                 7.07*cm 0*cm 5*cm  |                  0*deg 0.025*rad 97*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50301 
det1_tracker_vertex_Vertex_3_2  |                root  |det1_tracker_vertex_Vertex_3_2  |       6.12280116816204*cm 3.5349972920999*cm 5*cm  |    0*deg 0.025*rad 66.9991405379596*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50302 
det1_tracker_vertex_Vertex_3_3  |                root  |det1_tracker_vertex_Vertex_3_3  |      3.53500541579813*cm 6.12279647794028*cm 5*cm  |    0*deg 0.025*rad 36.9982810759192*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50303 
det1_tracker_vertex_Vertex_3_4  |                root  |det1_tracker_vertex_Vertex_3_4  |  9.38043991951016e-06*cm 7.06999999999378*cm 5*cm  |    0*deg 0.025*rad 6.99742161387873*deg  | 09e5f4   |                 Box  |                                          2*cm 0.03*cm 18*cm  |               G4_Si  |                  no  |     1   |     1   |     1   |   1   |   1   |                flux  |                flux  |                         id manual 50304 
