meic_det1_solenoid_CLEO_Coil  |                root  |  meic_det1_solenoid_CLEO_Coil  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | ff8000   |            Polycone  |0*deg 360*deg 2*counts 152.30*cm 152.30*cm 154.30*cm 154.30*cm -173.80*cm 173.80*cm  |            Aluminum  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_CLEO_BarrelYokeInner  |                root  |meic_det1_solenoid_CLEO_BarrelYokeInner  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | F63BFF   |            Polycone  |0*deg 360*deg 2*counts 176.60*cm 176.60*cm 212.60*cm 212.60*cm -189.00*cm 189.00*cm  |                Iron  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_CLEO_BarrelYokeOuter  |                root  |meic_det1_solenoid_CLEO_BarrelYokeOuter  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | F63BFF   |            Polycone  |0*deg 360*deg 2*counts 221.51*cm 221.51*cm 257.50*cm 257.50*cm -189.00*cm 189.00*cm  |                Iron  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_CLEO_SlabSpacerUpstream  |                root  |meic_det1_solenoid_CLEO_SlabSpacerUpstream  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | F63BFF   |            Polycone  |0*deg 360*deg 2*counts 212.61*cm 212.61*cm 221.50*cm 221.50*cm -159.00*cm -189.00*cm  |                Iron  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_CLEO_SlabSpacerDownstream  |                root  |meic_det1_solenoid_CLEO_SlabSpacerDownstream  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | F63BFF   |            Polycone  |0*deg 360*deg 2*counts 212.61*cm 212.61*cm 221.50*cm 221.50*cm 159.00*cm 189.00*cm  |                Iron  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_CLEO_CoilCollarUpstream  |                root  |meic_det1_solenoid_CLEO_CoilCollarUpstream  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | F63BFF   |            Polycone  |0*deg 360*deg 2*counts 144.00*cm 144.00*cm 257.50*cm 257.50*cm -189.01*cm -209.00*cm  |                Iron  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_CLEO_CoilCollarDownstream  |                root  |meic_det1_solenoid_CLEO_CoilCollarDownstream  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | F63BFF   |            Polycone  |0*deg 360*deg 2*counts 144.00*cm 144.00*cm 257.50*cm 257.50*cm  189.01*cm  209.00*cm  |                Iron  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_CLEO_EndcapDonutUpstream  |                root  |meic_det1_solenoid_CLEO_EndcapDonutUpstream  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | F63BFF   |            Polycone  |0*deg 360*deg 2*counts 242.50*cm 242.50*cm 257.50*cm 257.50*cm -209.01*cm -390.00*cm  |                Iron  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_CLEO_EndcapDonutDownstream  |                root  |meic_det1_solenoid_CLEO_EndcapDonutDownstream  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | F63BFF   |            Polycone  |0*deg 360*deg 2*counts 242.50*cm 242.50*cm 257.50*cm 257.50*cm 209.01*cm 450.00*cm  |                Iron  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_CLEO_CryostatInner  |                root  |meic_det1_solenoid_CLEO_CryostatInner  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                        144*cm 144.1*cm 187*cm 0*deg 360*deg  |      StainlessSteel  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
meic_det1_solenoid_CLEO_CryostatOuter  |                root  |meic_det1_solenoid_CLEO_CryostatOuter  |                                 0*cm 0*cm 40.3*cm  |                       0*deg 0*deg 0*deg  | ffffff   |                Tube  |                    176.48*cm 176.59*cm 187*cm 0*deg 360*deg  |      StainlessSteel  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
